Card_ID,Dt_Customer,Recency,MntGroceries,MntStationery,MntHouseKeeping,MntWellness_&_Beauty,MntElectronics_&_Supplies,MntLimitedEdition,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp1,AcceptedCmp2,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,Complain
10003191,6/5/2018,10,18,0,3,0,0,9,1,7,2,2,5,0,0,0,0,0,0
10003192,7/30/2018,81,502,61,471,74,62,12,3,13,10,10,5,0,0,0,0,0,0
10003194,3/23/2019,11,30,0,15,2,2,3,1,7,2,3,7,0,0,0,0,0,0
10003195,9/6/2017,93,416,29,184,50,21,100,7,16,6,4,9,0,0,0,0,0,0
10003196,1/7/2018,15,856,178,982,190,47,39,1,12,5,11,3,0,0,0,0,0,0
10003197,10/3/2017,1,832,0,452,93,107,15,7,13,8,6,6,0,0,0,0,0,0
10003200,5/13/2018,90,815,32,214,77,117,52,2,11,7,6,3,0,0,0,0,0,0
10003204,9/11/2017,52,1034,120,455,185,185,207,1,10,13,11,2,0,0,0,0,0,0
10003208,11/16/2017,91,988,32,882,30,53,134,1,12,4,6,3,0,1,1,1,0,0
10003211,1/24/2018,83,700,34,340,0,27,150,2,11,6,8,3,0,0,0,0,0,0
10003212,5/25/2018,92,16,6,17,3,6,16,1,8,2,2,10,0,0,0,0,0,0
10003214,4/18/2018,16,788,17,589,104,52,21,1,12,12,10,3,0,1,1,1,0,0
10003219,1/21/2019,92,66,0,8,0,0,16,1,8,2,3,7,0,0,0,0,0,0
10003220,6/26/2019,49,344,21,291,172,0,120,1,14,9,5,4,0,0,0,0,0,0
10003226,11/19/2018,67,50,6,28,3,15,3,3,8,3,4,5,0,0,0,0,0,0
10003228,6/17/2018,87,58.2,8.6,89.6,18.6,22.8,274.6,0,22,1,1,0,0,0,0,1,0,0
10003229,3/8/2018,51,185,20,73,0,15,33,7,12,3,4,9,0,0,0,0,0,0
10003230,11/18/2018,29,21,7,18,9,6,51,5,10,3,2,8,1,0,0,0,0,0
10003231,1/3/2019,81,352,0,137,165,117,63,1,13,4,10,5,0,0,0,0,0,0
10003233,8/30/2018,11,101,3,28,4,4,30,4,8,3,4,5,0,0,0,0,0,0
10003234,2/15/2019,52,406,10,189,12,0,6,1,8,5,12,1,0,0,0,0,0,0
10003236,4/3/2019,79,14,3,18,3,8,2,3,9,2,3,7,0,0,0,0,0,0
10003239,10/11/2018,39,87,0,16,0,3,12,1,8,3,3,7,0,0,0,0,0,0
10003240,11/23/2017,8,1337,14,295,17,17,34,2,9,5,5,7,0,0,0,0,0,0
10003241,1/3/2018,89,63,1,9,0,0,15,3,8,3,2,7,0,0,0,0,0,0
10003243,10/14/2018,48,28,0,17,0,0,5,1,7,2,3,6,0,0,0,0,0,0
10003244,8/22/2018,5,598,33,247,70,20,70,3,13,5,12,4,0,0,0,0,0,0
10003245,10/28/2018,15,508,64,118,94,52,258,2,13,5,10,3,0,0,0,0,0,0
10003247,6/25/2019,99,4,4,4,6,16,20,3,7,3,3,4,0,0,0,0,0,0
10003249,4/20/2018,44,29,1,26,2,2,3,3,8,2,4,6,0,0,0,0,0,0
10003250,11/9/2018,66,873,84,347,29,72,174,1,9,8,9,1,0,1,0,0,0,0
10003251,9/1/2017,12,515,4,54,5,5,23,4,15,3,6,8,0,0,0,0,0,0
10003252,8/5/2018,90,569,11,72,35,14,106,2,15,4,7,5,0,0,0,0,0,0
10003253,4/20/2019,77,279,2,22,0,0,21,4,11,4,4,7,0,1,0,0,0,0
10003254,7/20/2018,92,846,10,315,12,12,12,1,10,7,6,2,0,0,0,0,0,0
10003255,4/5/2019,87,234,2,38,22,16,51,1,9,4,6,4,0,1,0,0,0,0
10003256,12/26/2018,11,3,3,5,12,15,20,1,7,3,2,8,1,0,0,0,0,0
10003261,8/26/2017,15,18,2,31,3,4,23,2,8,2,3,8,0,0,0,0,0,0
10003264,8/19/2017,21,959,0,87,0,0,42,4,8,4,9,8,0,0,0,0,0,0
10003266,6/7/2018,40,4,10,19,4,16,38,2,8,3,3,7,0,0,0,0,0,0
10003268,5/29/2018,72,455,24,510,31,101,152,1,12,9,8,2,0,0,0,0,0,0
10003269,2/21/2019,23,309,0,47,0,4,92,7,11,5,4,6,0,0,0,0,0,0
10003270,11/26/2017,26,770,8,202,0,0,40,4,8,4,8,8,0,0,0,0,0,0
10003273,3/13/2019,26,255,123,195,14,77,28,2,14,4,8,4,0,0,0,0,0,0
10003275,10/5/2018,24,81,10,27,11,10,11,1,8,3,4,3,0,0,0,0,0,0
10003277,10/4/2017,18,22,3,33,8,4,4,2,8,2,3,9,0,0,0,0,0,0
10003278,5/23/2018,11,282,0,107,12,4,33,8,13,4,4,8,0,0,0,0,0,0
10003279,8/11/2018,76,119,1,41,6,5,3,2,9,3,4,7,0,0,0,1,0,0
10003281,6/3/2018,84,5,4,15,3,14,11,2,8,2,3,8,0,0,0,0,0,0
10003284,4/24/2019,48,885,20,,36,36,24,1,8,6,9,1,0,0,1,0,0,0
10003285,5/30/2018,48,8,6,9,5,5,14,2,8,2,3,7,0,0,0,0,0,0
10003288,12/22/2018,52,819,107,493,107,54,107,1,11,8,6,1,0,1,1,0,0,0
10003290,8/12/2017,96,30,18,50,4,28,4,3,9,2,4,9,0,0,0,0,0,0
10003291,9/14/2018,10,44,9,85,22,15,16,3,10,2,4,7,0,0,0,0,0,0
10003292,5/26/2019,51,467,46,152,56,47,183,1,11,10,6,3,1,0,0,0,0,0
10003297,11/29/2018,99,28,12,22,4,4,15,1,8,2,3,7,0,0,0,0,0,0
10003299,10/18/2017,24,1355,13,192,16,16,32,2,14,7,7,6,0,1,0,0,0,0
10003300,4/19/2018,12,617,22,806,38,238,95,1,12,9,7,3,0,0,0,0,0,0
10003301,5/8/2018,1,477,62,223,112,28,168,3,11,8,10,4,0,0,0,0,0,0
10003302,4/23/2018,87,788,8,173,10,10,50,1,16,4,10,7,0,1,0,0,0,0
10003303,9/19/2017,19,143,29,128,21,17,71,7,12,3,5,9,0,0,0,0,0,0
10003306,1/13/2019,76,14,0,5,0,0,4,2,7,2,3,7,0,0,0,0,0,0
10003307,9/18/2017,89,996,59,1065,47,95,23,1,11,5,12,2,0,0,1,0,0,0
10003308,1/2/2018,8,46,8,32,46,3,20,1,9,3,3,7,0,0,0,0,0,0
10003309,5/14/2019,14,426,0,76,5,5,36,3,12,3,8,5,0,1,0,0,0,0
10003310,8/14/2018,45,488,0,33,0,5,21,3,13,3,7,7,0,1,0,0,0,0
10003314,8/26/2017,30,1085,28,435,51,51,153,9,8,8,13,8,0,0,0,0,0,0
10003317,6/27/2018,54,688,134,416,147,15,15,1,10,12,4,2,0,0,0,0,0,0
10003318,5/8/2019,44,208,137,184,86,64,129,1,12,4,10,3,0,0,0,0,0,0
10003319,12/10/2018,37,3,5,14,4,10,9,3,8,2,4,5,0,0,0,0,0,0
10003321,1/23/2019,91,119,0,19,0,0,12,2,9,3,3,6,0,0,0,0,0,0
10003326,3/11/2018,3,185,22,223,36,36,10,5,10,4,9,4,0,0,0,0,0,0
10003329,9/24/2018,48,1142,24,159,0,101,144,2,17,8,11,5,1,0,0,0,0,0
10003330,12/27/2018,72,450,27,,20,6,111,2,13,4,8,7,0,0,0,0,0,0
10003331,7/27/2018,24,389,0,57,9,14,0,5,10,4,8,4,0,0,0,0,0,0
10003336,11/11/2018,91,291,9,128,75,64,87,1,11,5,8,4,0,0,0,0,0,0
10003339,5/27/2018,71,14,0,2,0,0,2,1,7,2,2,6,0,0,0,0,0,0
10003345,5/27/2019,43,29,0,3,0,0,11,2,7,3,2,5,1,0,0,0,0,0
10003347,2/25/2019,42,1.5,0.4,1.5,1,0,1.7,0,1,0,0,13,0,0,0,0,0,0
10003351,9/30/2017,60,1784,55,306,45,0,222,2,10,6,10,6,1,0,1,0,0,0
10003353,5/9/2018,90,2,13,22,12,15,10,4,9,3,3,6,0,0,0,0,0,0
10003354,5/24/2018,83,213,0,,9,9,56,3,12,3,4,7,0,0,0,0,0,0
10003357,6/25/2019,13,204,0,16,0,2,40,1,11,3,3,7,0,0,0,0,0,0
10003359,11/14/2018,50,258,2,40,3,3,6,6,11,4,4,7,0,0,0,0,0,0
10003363,6/2/2019,46,489,114,575,214,60,153,1,12,8,7,2,0,0,0,0,0,0
10003366,8/10/2017,13,981,185,756,134,66,290,1,10,8,8,2,0,0,1,0,0,0
10003367,9/11/2017,87,573,19,137,16,23,45,4,16,8,3,8,0,0,0,0,0,0
10003370,5/13/2018,93,286,5,274,20,39,170,5,16,3,6,7,0,0,0,0,0,0
10003371,12/8/2017,19,15,0,5,0,0,2,1,7,2,2,7,0,0,0,0,0,0
10003372,6/15/2019,88,82,68,59,58,15,24,2,8,3,8,2,0,0,0,0,0,0
10003374,12/4/2018,27,110,190,289,47,87,102,1,9,9,9,2,0,0,0,0,0,0
10003375,11/3/2017,95,88,16,66,0,38,125,1,8,5,4,4,0,0,0,0,0,0
10003376,4/19/2018,78,59.6,3.8,21.4,4.6,1.9,3.5,0,1,1,0,0,0,0,0,0,0,0
10003382,6/5/2019,92,56.7,2.5,74.5,7.6,273.6,368.2,0,25,1,1,0,0,0,0,0,0,0
10003383,6/6/2019,85,15,4,20,5,5,4,1,8,2,3,6,0,0,0,0,0,0
10003390,1/18/2019,58,785,7,102,0,18,36,7,15,6,8,6,0,1,1,0,0,0
10003391,5/2/2018,49,372,96,178,39,54,8,8,11,8,8,5,0,0,0,0,0,0
10003393,8/5/2017,90,183,9,134,11,15,54,4,12,4,4,8,0,0,0,0,0,0
10003394,6/24/2018,76,732,168,856,38,28,152,1,12,5,13,2,0,1,1,1,0,0
10003395,2/5/2018,63,1192,106,421,36,18,92,3,16,9,6,6,0,0,0,0,0,0
10003397,12/7/2018,56,92,5,84,16,17,33,3,11,3,3,8,0,0,0,0,0,0
10003398,11/8/2018,83,863,53,455,95,80,80,1,9,12,7,1,0,0,0,1,0,0
10003399,2/20/2018,70,622,103,817,207,227,186,1,10,8,6,3,0,0,0,0,0,0
10003403,2/2/2019,5,1080,25,321,0,46,46,1,17,5,5,5,0,0,0,0,0,0
10003405,12/14/2018,9,555,21,586,118,118,168,1,9,9,11,1,0,0,0,0,0,0
10003406,1/29/2018,84,1144,34,782,21,21,21,1,10,7,7,1,0,0,0,0,0,0
10003408,5/25/2018,28,310,35,607,32,21,75,1,8,6,7,1,0,0,0,0,0,0
10003413,8/24/2017,64,15,14,73,20,12,38,2,9,2,4,9,0,0,0,0,0,0
10003414,1/8/2018,18,909,20,223,12,24,24,3,17,6,10,8,0,0,0,0,0,0
10003419,12/2/2017,79,1496,13,74,0,16,209,4,9,5,4,7,0,1,1,0,1,0
10003421,1/29/2019,33,472,58,340,10,80,10,1,9,5,6,1,0,0,0,0,0,0
10003423,6/7/2018,39,155,1,18,2,2,17,4,10,2,4,9,0,0,0,0,0,0
10003424,1/20/2018,55,75,0,25,,2,32,2,8,4,2,7,0,0,0,0,0,0
10003426,10/29/2017,48,903,63,408,46,62,291,5,15,9,13,6,1,0,0,0,0,0
10003431,3/13/2019,29,62,0,13,0,2,4,1,7,3,3,6,0,0,0,0,0,0
10003434,5/26/2018,45,333,13,46,4,8,111,3,12,6,3,7,1,0,0,0,0,0
10003435,5/13/2019,29,294,19,138,34,81,17,1,10,4,10,2,0,0,0,0,0,0
10003436,5/2/2019,7,636,117,746,124,53,177,1,10,12,8,1,1,0,0,1,0,0
10003438,6/7/2019,51,1113,29,534,17,17,53,1,9,11,10,1,0,0,1,0,0,0
10003439,11/3/2017,91,36,19,29,10,9,44,1,8,3,3,6,0,0,0,0,0,0
10003442,7/15/2018,11,76,3,74,8,11,34,2,9,3,4,7,0,0,0,0,0,0
10003445,10/30/2017,96,10,3,6,2,0,4,1,6,2,3,7,0,0,0,0,0,0
10003448,7/10/2018,4,173,59,274,110,134,63,1,9,7,11,2,0,0,0,0,0,0
10003449,5/25/2018,54,17,3,32,10,21,8,2,9,2,3,9,0,0,0,0,0,0
10003450,6/14/2019,13,16,1,16,0,3,3,1,7,2,3,3,0,0,0,0,0,0
10003451,5/5/2019,86,561,50,358,122,98,60,1,8,6,9,1,0,0,0,0,0,0
10003452,11/17/2017,86,57,1,33,2,15,50,3,10,3,2,9,1,0,0,0,0,0
10003453,1/9/2018,42,30,1,13,0,2,2,2,8,2,3,8,0,0,0,0,0,0
10003456,8/14/2018,73,596,6,100,8,8,116,4,16,4,6,8,0,0,0,0,0,0
10003457,11/25/2017,59,726,0,171,9,9,102,4,11,10,8,4,1,0,0,0,0,0
10003459,10/24/2018,26,87,1,37,9,3,15,4,9,3,3,8,0,0,0,0,0,0
10003462,2/20/2019,89,1121,24,254,15,29,44,2,14,6,6,3,0,1,1,0,0,0
10003463,6/12/2018,35,400,93,188,130,93,28,2,14,5,10,5,0,0,0,0,0,0
10003465,9/24/2017,98,676,50,852,26,37,225,1,13,9,12,3,0,0,0,0,0,0
10003467,11/9/2018,13,17,2,15,10,2,10,1,7,2,3,3,0,0,0,0,0,0
10003470,1/24/2018,50,36,5,25,8,11,34,4,8,3,4,6,0,0,0,0,0,0
10003471,3/14/2018,94,191,33,46,9,18,24,1,9,3,7,5,0,0,0,0,0,0
10003473,9/2/2017,16,760,62,118,75,32,214,3,13,5,13,5,0,0,0,0,0,0
10003474,12/3/2018,1,3,10,11,2,11,10,1,8,2,3,7,0,0,0,0,0,0
10003475,3/16/2018,95,1139,64,212,30,62,46,1,14,11,12,5,0,1,1,1,0,0
10003478,3/23/2019,38,615,0,92,0,0,50,3,12,4,10,4,0,0,0,0,0,0
10003480,3/27/2019,53,305,35,380,51,34,34,1,10,8,10,2,0,0,0,0,0,0
10003481,1/17/2018,64,376,8,115,5,5,152,9,14,3,6,9,0,0,0,0,0,0
10003482,9/9/2018,38,0,7,4,8,0,2,1,7,2,2,7,0,0,0,0,0,0
10003484,12/20/2017,34,647,50,336,134,0,36,4,13,6,4,4,0,0,0,0,0,0
10003485,11/16/2017,27,825,111,961,178,45,61,1,10,8,8,3,1,0,0,1,0,0
10003488,2/3/2018,96,8,1,8,3,3,3,1,6,2,3,5,0,0,0,0,0,0
10003494,4/19/2018,7,206,93,,84,28,168,1,12,8,4,2,0,1,1,0,0,0
10003495,6/9/2019,51,84,0,18,0,0,5,2,8,2,4,6,0,0,0,0,0,0
10003498,5/23/2018,35,190,49,815,29,89,29,1,13,10,13,5,0,1,1,1,0,0
10003500,8/15/2017,73,17,5,42,14,16,70,3,9,3,3,9,0,0,0,0,0,0
10003501,12/19/2018,64,1060,64,336,135,29,77,1,12,9,11,3,0,0,0,0,0,0
10003502,2/25/2018,25,198,27,60,29,36,76,1,12,3,5,7,0,0,0,0,0,0
10003503,12/11/2018,53,867,0,42,0,0,46,6,17,6,6,7,0,1,0,0,0,0
10003504,6/26/2019,71,5,0,5,4,8,15,1,7,2,3,4,0,0,0,0,0,0
10003506,4/4/2019,69,672,28,308,135,202,31,0,16,7,6,2,0,0,0,0,0,0
10003507,8/19/2017,90,219,22,151,0,0,27,1,12,13,8,8,0,1,1,1,1,0
10003509,8/14/2018,45,92,22,37,6,10,16,1,8,3,5,2,0,0,0,0,0,0
10003511,12/2/2018,60,154,10,100,137,4,24,1,10,5,6,3,0,0,0,0,0,0
10003512,11/25/2018,49,36.2,2.9,19.5,4.2,270,308.8,0,23,0,1,1,0,0,0,0,0,0
10003514,11/2/2018,46,42,4,19,6,8,77,1,8,4,2,5,0,0,0,0,0,0
10003515,3/13/2019,66,326,32,399,89,99,29,1,10,8,12,2,0,0,0,0,0,0
10003516,4/10/2018,41,123,2,88,18,29,192,3,10,5,3,4,0,0,0,0,0,0
10003517,1/18/2018,38,128,1,9,2,2,9,3,8,3,4,6,0,0,0,0,0,0
10003518,1/31/2019,75,1068,0,124,24,0,40,3,8,11,4,6,1,0,0,0,0,0
10003519,7/19/2018,71,708,66,230,23,80,206,2,15,12,5,5,1,0,0,0,0,0
10003523,10/22/2018,39,46,15,60,3,10,35,3,9,2,4,8,0,0,0,0,0,0
10003526,8/27/2018,16,0,7,6,24,3,21,2,8,2,3,7,0,0,0,0,0,0
10003529,12/19/2018,49,474,56,257,0,26,161,3,11,11,6,3,0,0,0,0,0,0
10003533,7/15/2018,82,534,35,323,75,53,53,1,13,5,13,3,0,0,0,0,0,0
10003536,7/29/2018,86,410,107,121,194,107,86,1,10,9,6,1,0,0,1,1,0,0
10003537,4/16/2018,0,977,0,733,29,155,111,1,10,8,8,2,0,0,1,1,0,0
10003538,6/23/2018,56,677,24,210,29,20,100,4,11,5,4,5,0,0,0,0,0,0
10003541,12/7/2017,10,957,153,323,66,117,36,1,170,6,6,4,0,1,1,1,0,0
10003543,10/4/2017,29,342,38,285,46,30,140,6,14,4,9,7,0,0,0,0,0,0
10003544,4/3/2018,30,354,35,531,112,144,48,1,11,7,10,3,0,0,0,0,0,0
10003547,3/25/2019,43,126,0,11,0,2,0,2,8,3,4,5,0,0,0,0,0,0
10003553,2/17/2018,64,23,16,30,10,2,14,4,7,3,4,7,0,0,0,0,0,0
10003554,12/25/2018,15,28,1,11,3,4,5,2,7,2,3,6,0,0,0,0,0,0
10003555,10/30/2018,69,30,16,31,0,20,17,2,9,2,4,7,0,0,0,0,0,0
10003557,8/3/2017,10,1724,35,277,86,0,64,4,13,6,6,8,0,1,0,1,0,0
10003559,6/7/2019,8,6,1,8,0,2,4,2,7,2,3,7,0,0,0,0,0,0
10003561,2/21/2018,28,1133,29,373,124,88,53,2,15,6,9,5,0,0,0,0,0,0
10003562,9/24/2018,73,5,1,7,4,2,3,2,7,2,3,8,0,0,0,0,0,0
10003566,1/28/2018,20,909,14,664,17,17,101,1,11,7,11,3,0,0,0,0,0,0
10003567,8/24/2017,42,366,24,146,11,23,219,5,12,4,8,8,0,0,0,0,0,0
10003570,2/27/2018,66,732,7,142,0,9,64,9,17,4,8,8,0,1,0,0,0,0
10003571,6/9/2018,24,208,2,43,3,3,57,3,11,3,4,7,0,0,0,0,0,0
10003574,3/3/2018,3,358,12,105,10,21,21,6,12,3,8,7,0,0,0,0,0,0
10003579,1/20/2019,24,27,1,10,0,0,17,1,7,3,2,4,0,0,0,0,0,0
10003580,3/17/2019,99,456,8,42,0,5,72,4,9,6,8,3,1,0,0,0,0,0
10003581,2/14/2018,66,56,49,69,22,11,17,4,8,3,6,5,0,0,0,0,0,0
10003586,8/11/2017,28,660,8,235,39,20,256,8,15,6,9,7,1,0,0,0,0,0
10003588,5/30/2019,65,5,1,6,,0,2,2,7,2,3,3,0,0,0,0,0,0
10003590,3/27/2019,52,16,0,5,0,0,0,1,6,2,3,6,0,0,0,0,0,0
10003591,11/30/2018,80,108,1,26,2,2,12,4,8,3,4,4,0,1,0,0,0,0
10003593,3/4/2019,93,617,22,876,119,40,59,1,11,4,8,2,0,1,1,0,0,0
10003597,12/12/2017,94,653,87,335,117,65,221,5,10,6,8,7,0,0,0,0,0,0
10003602,9/26/2017,27,1167,127,281,114,172,153,4,9,6,7,7,0,0,0,0,0,0
10003604,10/16/2017,70,93,2,39,0,2,83,4,9,4,2,7,1,0,0,0,0,0
10003605,11/2/2018,19,776,9,240,57,34,69,3,12,5,5,3,0,1,0,0,0,0
10003606,2/11/2018,60,1406,137,284,21,165,186,1,11,13,10,2,0,0,1,0,0,0
10003608,10/12/2018,7,190,0,,12,9,86,6,10,6,3,5,0,0,0,0,0,0
10003609,2/10/2018,58,10,0,16,4,9,15,1,7,2,3,7,0,0,0,0,0,0
10003611,3/5/2019,37,207,18,51,3,24,32,3,10,4,5,5,0,0,0,0,0,0
10003612,11/5/2017,39,1022,34,240,28,28,28,1,16,9,10,5,0,0,0,0,0,0
10003613,8/6/2017,65,45,46,39,56,64,236,3,11,4,3,9,1,0,0,0,0,0
10003614,4/25/2018,64,1161,28,856,76,0,26,1,11,13,6,2,0,1,1,0,0,0
10003617,9/18/2018,23,623,179,986,,107,64,1,10,4,11,2,0,0,1,1,0,0
10003618,3/4/2018,84,664,25,157,60,81,10,3,12,5,13,4,0,0,0,0,0,0
10003619,12/16/2018,33,21,3,17,14,9,36,4,9,3,3,4,0,0,0,0,0,0
10003620,4/4/2018,20,717,7,102,9,17,188,3,15,4,9,6,0,1,0,1,0,0
10003622,11/21/2017,49,2,5,4,6,5,10,1,7,2,2,7,0,0,0,0,0,0
10003626,5/7/2018,28,419,46,211,47,40,102,2,9,5,13,2,0,0,0,0,0,0
10003628,10/10/2018,26,84,0,17,0,4,6,2,9,2,3,8,0,0,0,0,0,0
